epoch,train_acc,validation_acc,time
1,52.739,54.319,822.4194777011871
2,66.882,77.695,814.3576855659485
3,76.48,78.912,812.7571196556091
4,78.639,79.376,816.3813180923462
5,79.423,79.91,814.5868046283722
6,79.561,79.561,814.8646554946899
7,80.013,79.519,812.7602565288544
8,79.836,78.729,815.0929517745972
9,80.258,80.841,815.6286332607269
10,80.36,80.866,814.0920469760895
11,80.423,80.743,814.1590881347656
12,80.553,79.72,811.3878235816956
13,80.743,80.997,815.1494162082672
14,80.764,81.145,815.5972383022308
15,80.905,79.658,814.4586811065674
16,80.9,81.532,816.2790274620056
17,81.04,81.291,816.0401756763458
18,81.079,80.622,815.0230779647827
19,81.267,81.638,812.2847282886505
20,81.371,82.006,815.0242722034454
21,81.641,81.818,815.8802230358124
22,81.623,82.132,815.5043804645538
23,81.745,81.712,816.0296833515167
24,81.86,81.516,814.8825976848602
25,81.997,82.124,815.1230881214142
26,82.176,81.513,818.1477336883545
27,82.288,78.483,817.0019090175629
28,82.528,82.807,812.6058919429779
29,82.513,82.539,816.0034463405609
30,82.562,83.032,814.1090695858002
31,82.666,82.806,814.6147260665894
32,82.845,81.505,815.2607533931732
33,82.871,82.71,812.1897869110107
34,82.998,82.688,815.3417911529541
35,83.026,83.096,816.5302393436432
36,83.186,82.881,814.1771967411041
37,83.278,83.424,813.8209180831909
38,83.259,83.36,813.6926681995392
39,83.309,82.356,814.9248714447021
40,83.344,82.315,814.3859572410583
41,83.419,83.657,814.2327589988708
42,83.479,82.145,815.3128159046173
43,83.517,83.371,813.2445864677429
44,83.482,83.5,813.697865486145
45,83.542,83.753,813.5936532020569
46,83.676,82.699,814.2176604270935
47,83.609,83.804,814.8414561748505
48,83.638,83.89,814.8439991474152
49,83.815,83.04,814.0907354354858
50,83.773,83.814,816.9622206687927
51,83.788,82.95,814.1766579151154
52,83.834,83.826,815.5989151000977
53,83.79,83.454,812.6613943576813
54,83.905,83.501,815.0433366298676
55,83.854,83.382,815.3878176212311
56,83.971,83.261,813.4550833702087
57,84.01,83.715,814.1945261955261
58,84.048,83.84,813.104700088501
59,84.007,83.167,813.6907248497009
60,84.077,83.571,814.4657678604126
61,84.137,83.747,813.3771965503693
62,84.133,82.001,814.4628055095673
63,84.062,83.705,814.9326758384705
64,84.258,83.707,814.6428003311157
65,84.405,84.113,813.683464050293
66,84.327,83.663,815.5646562576294
67,84.275,83.128,814.6484806537628
68,84.219,83.946,813.7372033596039
69,84.268,84.162,813.9026615619659
70,84.174,83.943,811.5906641483307
71,84.379,82.829,813.2190518379211
72,84.259,84.032,815.017094373703
73,84.419,84.036,814.4467482566833
74,84.37,83.788,813.4567432403564
75,84.379,83.302,816.1884882450104
76,84.343,84.157,814.5883622169495
77,84.445,83.877,816.2758142948151
78,84.379,83.582,813.8360557556152
79,84.49,83.089,813.5612723827362
80,84.383,83.588,812.1176207065582
81,84.599,84.218,814.8925559520721
82,84.515,84.466,812.075160741806
83,84.488,83.177,812.8508911132812
84,84.59,83.064,814.5708923339844
85,84.602,84.277,811.9356727600098
86,84.549,84.234,812.7955536842346
87,84.587,82.942,815.0968289375305
88,84.674,84.179,814.4492502212524
89,84.728,84.226,813.0238811969757
90,84.632,84.117,815.6023416519165
91,84.673,84.506,812.5118832588196
92,84.658,83.894,813.0807704925537
93,84.503,83.427,814.5964868068695
94,84.63,84.002,815.3574874401093
95,84.698,84.662,815.0311150550842
96,84.73,83.943,813.3683710098267
97,84.651,84.1,813.1527400016785
98,84.776,83.825,812.7686817646027
99,84.777,84.2,816.1030516624451
100,84.889,82.388,816.201343536377
